use#v#1161188,उपयोग करना, इस्तेमाल करना
make#v#2566500,किया
limit#n#5131322,सीमा,हद,अवधि,अंत,किनारा,२. रोक
bowed_stringed_instrument#n#2883788,
annual#n#11573257,वार्षिक पत्र,एकबरसी पेड,ऋतु का पौधा
see#v#692380,देखना,दृष्टि करना,अवलोकन करना,२. मालूम करना,समझना,गौर करना,३. मुलाकात करना,भेंट करना,४. चौकसी करना,देख भाल करना
dramatist#n#10050002,नाटककार
communication#n#6262268,व्यवहार,संसर्ग,आना जाना,बोलचाल,खत किताबत,चिठ्ठी पत्री,२. संवाद,बात,समाचार
suspend#v#148583,लटकाना,टांगना,लटकना,झुलाना,२. कुछ समय के लिये न रहने देना,रोक रखना,अटका रखना,३. रोकना,४. हटाना,पृथक करना,५. रूपये का भुगतान रोकना,६. निर्भर करना
annual#a#681291,वार्षिक,सम्वती
president#n#10488144,सरदार,मुखिया,अधिपति,सभापति,राष्ट्रपति
stay#v#2733337,
open#v#1348685,खोलना,प्रकाश करना,२. प्रारंभ करना,३. स्थापित करना,४. चलाना
examine#v#2135744,परीक्षा करना,जांचना,निरीक्षण करना,२. पूछना,देखना,३. आलोचना करना,४. खोजना
measure#n#175261,नाप,मान,राशि,अंश,परिमाण,मात्रा,सीमा,मर्यादा,२. ताल,लय,समय
bag#n#2776042,थैला,बोरा
membrane#n#3749252,झिल्ली,पर्दा
examination#n#637093,परीक्षा,इम्तिहान,२. परीक्षण,निरीक्षण,जांच,३. आलोचना
store#n#13388243,भण्डार,ढेर,२. कोषागार,कोठी,गोदाम,३. बहुतायात,अधिकता
formal#a#1045598,औपचारिक,नियमानुसार,नियमानुरूप,लोकाचारी,व्यवहारानेसारीर
active#a#37570,कर्ता,गुणी,क्रियाशील,उद्यमी,स्फूर्तिमान,फुर्तीला,परिश्रमी,कामकाजी
flight#n#8237455,उडान,भगान,भागना,२. तीरों की बौछार
channel#n#6270551,नाला,तंग समुद्र,सरिता,२. मार्ग
syllable#n#6315661,शब्दांश,एक शब्द का उतना भाग जितना कि एक बार में बोला जाय
ore#n#14712661,कच्ची धातु
moth#n#2285853,पतंगा,कपडे का कीडा
vent#n#9493680,छिद्र,छेद,वायु आदि निकलने का मार्ग,२. निकास,द्वार,३. प्रकाशन,४. बिक्री
wide#a#2571278,विस्तीर्ण,चौडा,२. दूर का
chamber#n#5400087,कमरा,कोठा,चौबारा,कोठरी,२. कचहरी,न्यायालय,न्यायघर,३. सभा
vertebrate#n#1474323,कशेरुकी जन्तु
tract#n#8691133,फैली हुई वस्तु,विस्तार,२. प्रदेश,३. पुस्तक,ग्रंथ,प्रबंध
offer#v#2301687,उपस्थित करना,२. भेंट चढाना,३. नजरना,४. करना,५. बलि देना,६. मोल लगाना,७.बतलाना
general#a#1105084,सेनापति,सेनानायक,सेनाध्यक्ष,चसूपति
chemist#n#9933282,रसायनशास्त्री,रसायनी,रसायनज्ञ,रसायनशास्त्र का जाननेवाला
expose#v#2144506,खोलना,खोल कर रखना,२. पाप उघाडना,कलाई खोलना,३. खटके में डालना
love#n#5821331,प्रेम,प्रीति,प्यार,चाह,रुचि,प्रणय,स्नेह
lead#v#2003830,रास्ता दिखाना,ले चलना,नेता होना
wave#n#7366790,लहर,तरंग,२. संकेत,इशारा
electron#n#9294810,अतिसूक्ष्म परिमाण या अणु
allow#v#2260270,मानना,आज्ञा देना,स्वीकार करना,२. घटाना,मुजरा करना
gun#n#3472916,तोप,बन्दूक
frond#n#13175289,
pole#n#3983015,बल्ला,चोब,२. साढे पांच गज का नाप,३. ध्रुव,कुतुब
natural_language#n#6916947,प्राकृतिक भाषा
deposit#n#11465491,धरोहर,जमा,एकत्रित की हुई वस्तु,बैंक आदि मे जमा,जमानत आदि,२. धरोहर रखनेवाला
won#a#1455267,
align#v#465234,पंक्ति लगाना,पांत बांधना,( सेनाओ को) श्रेणीबद्ध करना
soldier#n#10641415,सिपाही,सैनिक,योद्धा
unify#v#368338,एक रूप बनाना,जोडना
rotate#v#2399036,घूमना,चक्कर खाना,घुमाना
modify#v#171140,रूपांतर करना,सूरत बदलना,कम करना,सुधारना
smooth#a#2244586,चिकना,चमकीला,सम,२. मृदु,मधुर भाषी,३. सरल
classified#a#416228,
hot#a#1259404,गर्म,तप्त,ऊष्ण,तेज,२. उत्सुक,कामी
climb#n#7385010,
admixture#n#14511182,
secretion#n#13575119,स्त्राव,स्त्रावण,२. शरीर से त्याग किया हुआ मल इत्यादि
sphere#n#14537641,गोला,चक्र,मण्डल,दौर,२. अधिकार प्रान्त,पद.
sauce#n#7845388,चटनी
evidence#n#5832256,साक्ष्य,गवाही,प्रमाण,२. साक्षी,गवाह
liberation#n#96322,छुटकारा,रिहाई,मुक्ति
blow#n#7353281,चोट,घूंसा,२. मक्खी के अण्डे,३. हवा का झोंका
Jesus#n#11103646,ईसा मसीह
opinion#n#5954491,विचार,राय,मत,२. समझ,मति
sexual_activity#n#845915,
Pakistan#n#8998272,पाक,पाकिस्तान
subshrub#n#13139466,
circle#n#13896141,वृत्त,घेरा,परिधि,२. मण्डली,समाज
detail#n#13832132,व्यौरा,विस्तारपूर्वक वर्णन,वृत्तांत
extremity#n#5567541,अत्यंतता,सीमा,छोर,अन्त,किनारा,२. अग्र भाग,३. निकटता
Andes#n#9219489,ऐन्डीज़ पर्वत शृंखला
wake_up#v#18519,
judgment#n#5846466,विचारणा,निर्णय,निर्धारणा,२. अनुमति,राय,मत,३. निर्णय,विचारफल,दंडाज्ञा,४. ईश्वरीयदंड
personal#a#1771841,निज का,अपना,जातीय,शारीरिक,वैयक्तिक,व्यक्तिगत,२. पुरुष वाचक,व्यक्ति वाचक,३. स्वयंकृत,अपने आप किया हुआ
drawing#n#7016235,रेखाचित्र
chew_over#v#632042,
share#n#13363150,भाग,हिस्सा,बखरा,२. शेअर भाग,३. हल का फल,हल का लोहा
United_Kingdom#n#8879115,यूनाइटेड किंगडम
male#a#1479992,पुल्लिंग,पुरुष जाति का
care#n#656128,ध्यान,चिन्ता,रक्षा,परवाह,सावधानी,चौकसी
pitch#n#107092,धूना,राल,२. सीमा,चढाव वा उतराव का दर्जा,चोटी
Australian#a#3057136,
measuring_instrument#n#3739416,मापन उपकरण
undertaking#n#797381,काम,प्रवृत्ति,व्यवसाय
agreement#n#6783066,ऐक्य,सम्मति,ताल मेल,२. संविद,प्रण,वचन,३. सादृश्य,समानता,४. लिखित पत्र,स्वीकार पत्र
nail#n#5589324,पंजा,२. नख,नाखून,३. कील,खूंटा,मेख,४. जौ,५. गिरह
feeder#n#9301903,खिलाने वाला,पालनहार,पोषक,२. खाने वाला,३. सहायक नदी
north#r#245502,उत्तर
value#v#696992,मोल लगाना,दाम लगाना,आंकना,२. प्रतिष्ठा करना
uterus#n#5526736,गर्भाशय
charge#v#1124145,लगाना,दाम मांगना,लेना,२. सौंपना,३. आज्ञा देना,४. आक्रमण करना,धावा करना,५. दोष लगाना,६. भार रखना,बोझा लादना
history#n#15146348,इतिहास,तवारीख
response#n#11437102,उत्तर,जवाब
parallel#a#1722394,साथ साथ,२. सामानांतर,३. समान,बराबर,सदृश
much#r#59624,बहुत
fix#n#324088,कठिनाई,संकट,भंवरजाल
steel#n#14826620,इस्पात
birth#n#15167127,जन्म,उत्पत्ति,२. पैत्रिक उपाधि,पद,३. घराना,कुलीनता,४. जन्म देना,उत्पन्न करना
pleasure#n#7505853,आनन्द,खुशी,प्रसन्नता,२. मर्जी,इच्छा,३. मेहरबानी,कृपा
gather#v#1383303,बटोरना,इकठ्ठा करना,२. तह करना,लपेटना
hint#v#929401,इशारा करना,संकेत करना,जताना,सैन मारना
competition#n#13859208,बराबरी,होड,प्रतियोगिता,प्रतिद्वन्दता,स्पर्धा
memory#n#5943778,स्मरण शक्ति,स्मरण,याद
Argentina#n#8729807,मेन्दोज़ा
fact#n#5825522,काम,२. तथ्य,सच्चाई,यथार्थता,सत्य वर्णन,२. अवस्था
mount#v#1345886,चढना,घोडे पर सवार होना,सजाना,२. सोना चांदी में मढना
time_interval#n#15294470,समय
display#n#6892571,दिखाव,तमाशा,प्रकाशन,विकास,धूमधाम
craniometric_point#n#5237933,
song#n#7062058,गीत,२. राग,३. भजन
dye#n#15009942,रंग
market#n#1099197,बाजार,हाट
fat#n#14888511,चर्बी,२. किसी वस्तु का बहुमूल्य भाग
blood_vessel#n#5425319,रक्त वाहिका
failure#n#67456,कमी,२. भूल,३. असिद्धि,४. घटती,दिवाला
cotton#n#14894229,कपास,रुई,२. रुई का कपडा,सूती कपडा
punishment#n#1162829,ताडना,दंड देना,२. सजा,दंड
husband#n#10213586,पति,भर्ता,स्वामी,नाथ
assume#v#525762,मान लेना,कल्पना करना,ग्रहण करना,अपने ऊपर लेना,रूप बनाना,बहाना करना
architect#n#9824898,वास्तुक
sect#n#8166788,सम्प्रदाय
technique#n#5672990,किसी विशेष कला का ज्ञान
female#a#1481113,स्त्री का,स्त्री जाति संबंधी,स्त्रैण
seaport#n#8656633,समुद्रतट का बंदरगाह,नौकाश्रय,२. बन्दरगाह या लंगरगाह वाला नगर
walk#v#1908923,चलना,टहलना
recommend#v#876672,प्रशंसा करना,स्वीकार्य बनाना,सिफारिश करना,२. सलाह देना,बताना
dress#n#3241438,
Virginia#n#9171719,वर्जीनिया
trunk#n#13186713,धड,तना,२. सूंड,३. सन्दूक
post#n#8641960,स्तम्भ,खम्बा,२. स्थान,जगह,३. नौकरी,ओहदा,काम,पद,४. चिठ्ठीरसां,डाक ले जाने वाला,५. डाक,६. एक प्रकार का कागज
panicle#n#13153415,
restrict#v#2514936,परिमित करना,सीमाबद्ध करना,रोकना
stopping_point#n#15292365,
article#n#6278749,वस्तु,चीज,२. दफा,धारा,३. लेख,निबन्ध,४. एक शब्द वर्ग
repeat#n#7356649,दुहराव,पुनरुक्ति
try#v#2535833,जांचना,परखना,परीक्षा करना,२. शुद्ध करना,शोधना,देखना,न्यायविचार करना,उद्योग करना
practice#v#2574587,
govern#v#2592711,सम्भालना,शासन करना,प्रबंध करना
bill#n#6528946,चोंच,२. लेखा पत्र,३. प्रस्तावित राजनियम( कानून) ,४. नुस्खा,औषधिविधानपत्र,५. एक लडाई की कुल्हाडी,पौधा कतरने की कैंची
military_officer#n#10336665,
necessitate#v#2634015,मजबूर करना,विवश करना,२. आवश्यक करना
admit#v#2508185,प्रवेश कराना,आज्ञा देना,पैठने देना,आने देना,२. सत्य मानना,स्वीकारना,हां करना,मान लेना,अनुमति देना
close#v#1347791,बन्द करना,ढकना,घेरना,२. समाप्त करना
distribution#n#5736981,वितरण,बांट
old#a#1648062,प्राचीन,२. जो ताजा न हो,३. बुढ्ढा,वृद्ध,४. बिगडा हुआ,सडा हुआ,५. अनुभवी
male#n#1323721,पुरुष,नर
resort#n#8658106,जमाव,भीड,२. आने जाने की जगह,अड्डा,अखाडा,३. उपाय,युक्ति
status#n#13968971,
die#v#359085,मरना,दम निकलना,समाप्त होना,मुरझाना
continue#v#783045,प्रचलित रखाना,बढाना
radiation#n#11519684,किरण पात,प्रकाश,प्रभा,ज्योति
sentence#n#6295743,वाक्य,पद,वचन,उक्ति,२. निर्णय,दंडाज्ञा,विचार,तजवीज
message#n#6263820,संदेशा,खबर
shoulder#n#5556473,कन्धा,२. सहारा
combination#n#7980325,मेल,संगत,जुटाव,संसर्ग,बन्दिश,मिश्रण,संयोग
pope#n#10473089,रोम का बडा पादरी,पोप
experience#v#2114674,अनुभव करना,२. जांचना
serf#n#10599987,
advantage#n#5163204,बढत,आधिक्य,भला अवसर,२. सुअवसर,फल,अर्थ,प्राप्ति,लाभ
specialist#n#10651303,वह मनुष्य जो किसी विशेष विषय के अध्ययन में या व्यवसाय में लगे
novel#n#6379324,कथा,कहानी,उपन्यास
population#n#8196797,बस्ती,आबादी,जन संख्या
stroke#n#566339,चोट,जरब,मार,सदमा,प्रभाव,आपद,२. घडी का शब्द,३. कलम या पेन्सिल चलाना,४. उस्तादी,कारीगरी
suffer#v#65410,दुख भोगना,कष्ट झेलना,२. अनुमति देना,आज्ञा वा परवानगी देना,३. सहना,४. उठाना,खोना,कष्ट उठाना,दण्ड पाना
opposition#n#10399319,बैर,रीक,२. विरोध,विमुखता
composition#n#5083641,संयोजन,सर्जन,रचना,२. मेल,समझौता,मिलावट,संगठन
shore#n#9456346,समुद्र का किनारा,समुद्र तट,२. टेक
breast#n#5560921,छाती,हृदय,सीना,अन्तःकरण
ride#v#1961388,सवारी करना,चढना
Iran#n#8930441,ईरान
block#n#8659720,ब्लक,खण्ड,लट्ठा,कुन्दा,२. रोक,३. फांसी देने का तख्ता,४. कील,५. घरों की पंक्ति,६. गुटका
communicate#v#742582,कहना,बतलाना,पहुंचाना,जताना
right_angle#n#13914930,
bread#n#7695101,ब्रेड,रोटी,२. जीविका,रोजी
be#v#2622439,होना,हो जाना,रहना,जीना
expansion#n#366535,प्रसार,२. फैलाव,३. विस्तार
rodent#n#2332053,चूहा गिलहरी आदि कतरने वाले जानवर
deck#n#3172332,नौका पृष्ठ,नाव का तल,पटाव
burrow#v#2045912,खोदना
target#n#7276776,ढाल,लक्ष्य,निशाना
spinal_column#n#5595824,मेरूदण्ड
furniture#n#3410635,फर्नीचर,माल,असबाब,सामान
crystal#n#14907357,बिल्लौर,कच्चा हीरा,स्फटिक,मणिभ
throat#n#5555141,कण्ठ,गला
attract#v#1811849,आकर्षित करना,खींचना,मन हरना,मोह लेना
crawl#n#295712,रेंगना,धीमी चाल
touch#v#1208838,स्पर्श करना,छू करना,मिलना,अनुभव करना,पहुंचना,असर करना,सम्बन्ध रखना
lodge#v#1530857,रखना,बसाना,घर या कमरा देना,स्थान देना,टिकाना,२. टिकना,बसना,रहना
peninsula#n#9411741,प्रायद्वीप,जजीरानुमा
entrance#n#3295682,पैठ,प्रवेश,२. द्वार,३. आरम्भ
vegetable#n#7723196,तरकारी,भाजी,शाक,शाग,उद्भिद
one-half#n#13758939,
Siberia#n#9028082,साइबेरिया
ordinal_number#n#13618523,
sand#n#15043597,रेत,बालू
chromosome#n#5449707,गुण सूत्र
institution#n#8070328,संस्था,२. व्यवस्था,विधि,कानून,३. शिक्षा
relative#a#6050,संबंध का,निसबती,सम्बन्धित
arch#n#13908826,महराब,वृत्तखण्ड,चाप,डाट
shade#n#4966407,छाया,परछाई,अंधेरापन,अप्रकाश,२. शरण,छाया,३. परदा,४. भूत,५. रंग का दर्जा
baby#n#9846929,बच्चा,शिशु,बालक
turn#n#350856,घुमाव,चक्कर,पारी,फेर,पलट,मोड,झुकाव,विचलन,परिवर्तन,रूप
intestine#n#5541966,अंतडी,अंतडी जो पेट से मलद्वार तक जाती है
construction#n#912746,रचना,विधान,बनावट,ढांचा,निर्माण,२. जोड,गठन,पद योजना,३. आशय,अर्थ
exercise#n#625978,परिश्रम,२. अभ्यास,शिक्षा,३. व्यायाम,कसरत
disk#n#13897824,
roof#n#4112532,छत,छप्पर,२. मेहराब
London#n#8893849,लंदन
transcript#n#6517508,प्रतिलिपि,नकल
putt#n#573875,
appropriate#v#2277394,अपना बना लेना,अपनाना,पृथक निकालना,धर्मार्थ के लिये रखना,संकल्प करना,कृष्णार्पण करना
consumption#n#839759,व्यय,खर्च,खपत,उजाड,सत्यानाश,नष्टता,२. क्षय रोग,तपेदिक
variable#n#9492089,परिवर्तनशील वस्तु
pouch#n#13937488,छोटा थैला,थैली,खीसा
design#n#5736623,अभिप्राय,आशय,उद्देश्य,युक्ति,योजना,उपाय,षड्यंत्र,रूप,खाका,चित्र,ढांचा
whole#n#5878206,समस्त,समभाग,संपूर्ण
tax#n#13330021,राजकर,टैक्स,महसूल,राजस्व,शुल्क
exhibit#v#2637937,दिखलाना,प्रत्यक्ष करना,प्रकट करना,प्रदर्शित करना
ion#n#9338065,गच्छाम (आयन)
olfactory_property#n#4987257,
evergreen#n#13120592,सदा बहार,नित हरा,२. अक्षय,३. ऐसा पौधा या वृक्ष
pipe#n#3951443,बांसुरी,बंसी,२. निगाली,३. नल,नली,४. पीपा
impression#n#5925333,चिह्न,ठप्पा,छाप,प्रभार,असर
compartment#n#3084313,विभाग,कमरा,अंश
dinosaur#n#1702472,डायनासोर
marriage#n#13987306,विवाह,शादी
acerate_leaf#n#13178493,
narrative#n#7235754,कहानी,बयान,इतिहास,कथा,वर्णन
rhizome#n#13149341,
cylinder#n#13887919,नल,डण्डा,बेलन,२. मुंबा,३. कोटी,४. लाठ,५. वेलनाकार,वेलनीय
behave#v#2523827,व्यवहार करना,चलना,बर्तना
spot#n#13783547,धब्बा,चित्ती,बिन्दु,२. जगह,स्थान,३. कलंक,दोष
apparel#n#2731365,कपडा,वस्त्र,पोषाक,वेष
girl#n#10149362,लडकी,कन्या,बालिका,२. अविवाहिता युवा स्त्री,३. नौकरानी
component#n#3085025,अंश,भाग,टुकडा,२. अवयव
possible#a#1826770,होने योग्य,करने योग्य,मुमकिन,संभाव्य,संभव
dimension#n#5100843,आयाम,परिमाण,घाता,लम्बाई,चौडाई,ऊंचाई की नाप,विस्तार
give#v#734247,देना,दान करना,२. बताना,३. सौंपना,दे डालना,४. विचारफल देना,५. अनुज्ञा या आज्ञा देना,६. उपजाना,पैदा करना
sing#v#1733312,गाना,२. सराहना,प्रशंसा करना
Oregon#n#9155698,औरिगन
reason#n#6752739,ज्ञान,तर्क शक्ति,२. प्रयोजन,बुद्धि,कारण,बहस,सम्वाद,दलील,३. व्याख्या,आशय,अर्थ,४. न्याय,विचार,५. संयम
protection#n#819341,रक्षा,बचाव,शरण,पक्ष,२. निकासी की चिठ्ठी
sign#n#6659006,
terrestrial#a#125790,पार्थिव,सांसारिक,पृथ्वी सम्बन्धी,लौकिक
roll_up#v#2309962,
cheese#n#7866305,चीज,पनीर,दही फाड कर बनाई हुई मिठाई
spouse#n#10660018,
retire#v#2385151,अलग हो जाना,हटना,पीछे हटना,२. सेवा-निवृत्त होना
trouble#n#625102,घबराहट,दुःख,पीडा
blanket#n#2852392,कम्बल,लोई
enzyme#n#14757125,किण्वक
cake#n#2940853,केक,टिकिया,चपाती
sky#n#9459612,आकाश,गगन,आसमान,अंतरिक्ष
equate#v#2639615,बराबर मानना,२. समीकृतना
baseball#n#472688,बेसबॉल
county#n#8563758,जिला,प्रांत,देश भाग
capture#v#1690521,छीन लेना,जीत लेना,ले लेना,२. पकडना
sweet#a#2376904,चीनी का ,मीठा,मधुर,२. सुगंधित,३. सुस्वर,४. सुन्दर,५. रुचिकर,मनोहर,भला,६. ताजा,७.कोमल,नर्म,मृदु
pulp#n#9423701,गूदा,मगज
debar#v#2458770,
liver#n#5392877,जीनेवाला,रहनेवाला,२. कलेजा
training#n#895653,शिक्षा
rich#a#2029118,धनवान,धनाढ्य,मालदार,धनी,२. बहुमूल्य,कीमती,३. चमकीला,सुस्पष्ट,चमकदार,४. उपजाऊ,मालामाल,भरपूर,५. मजेदार,स्वादिष्ट,तर,६. सुस्वर,मीठा
goddess#n#9558733,देवी
Chile#n#8738314,चिले
phase#n#15315573,रूप,२. दृष्टि
symbol#n#6819327,चिह्न,लक्षण,संकेत,प्रतिरूप
enemy#n#8207412,शत्रु,विरोधी,रिपु
regular#a#1966104,नियत,यथाक्रम,बाकायदा,यथाविधि,नियमानुसार,नियमशील,ठीक,नियत्कालिक,मुस्तकिल,ढंगदार
forte#a#1461579,
precede#v#2698528,आगे जाना,पहले चलना या होना
feather#n#343391,पंख,पर,२. कोई हल्की वस्तु,३. वर्ग,जाति
lung#n#5394887,फेफडा
symptom#n#14323139,रोग का लक्षण,चिह्न,लक्षण
ice#n#14939335,हिम,बरफ
key#n#3618503,ताली,कुंजी,चाभी,२. टीका,दीपिका,व्याख्या,कुंजी
supplant#v#2410532,छल से निकाल देना,( दूसरे का) स्थान लेना,हटाना,२. जड खोदना
manage#v#2441196,चलाना,शासन करना,बन्दोबस्त करना,प्रबन्ध करना,उपाय करना
medium#n#6264799,साधन,निमित्त,मार्ग,कारण,जरिया
bottle#n#2879899,बोतल,शीशी
fold#n#13930429,तह,२. बाडा,३. सम्रदाय,४. झोल
traverse#v#1916152,आरपार रखना,२. घूमना,फिरना,इनकार करना,खंडन करना
Indonesia#n#8927379,इंडोनेशिया
New_Mexico#n#9137349,नया मेक्सिको
motor_vehicle#n#3796768,
addition#n#2682269,जोड,संकलन,योग,आधिक्य,अधिकता,२. जोडी हुई वस्तु,परिशिष्ट,३. उपाधि
knot#n#3632523,गांठ,गिरह,२. उलझना,३. गुच्छा,४. जत्था,५. पेड की गांठ जहां से डाल निकलती है
engine#n#3292644,कल,यन्त्र,अंजन,साधन,युक्ति
body_part#n#5227735,
vertical#a#1236220,सिर पर का,खडा,लंबरूप
photograph#n#3931348,फोटोग्राफ,अक्सी तसवीर,आलोकचित्र
cooking#n#244785,पाकशास्त्र
square#n#13901273,वर्ग,समचतुर्भुज,२. समकोण नापने का यंत्र,३. बराबरी
fuel#n#14899228,ईंधन,जलाने वाली वस्तु,२. उत्तेजक वस्तु,३. भडकावा,४. गर्मी
segment#n#9452291,खंड,फांक,हिस्सा,टुकडा,२. वृत्त खंड
ting#v#2140484,
mistake#n#71785,भूल,अशुद्धि,मिथ्या बुद्धि,भ्रम,गलती
regulate#v#2517217,नियमानुसार ठहरना,ठीक करना,विधिवत करना,दुरुस्त करना,डौल पर लाना
tropic#n#8692883,उष्णकटिबन्ध,अयन सीमा,अयन वृत्त
association#n#8066153,संग,संसर्ग,संगत,मेल,२. संघ,सभा,सम्मेलन,मण्डली
hazard#n#14565454,दैवगति,संयोग,२. जोखिम,खतरा
furnish#v#2341479,सुसज्जित करना,उपस्कृत करना,२. जुटाना,पहुंचाना,३. भट्टी पर गरम करना,भट्टी पर चढाना
nerve#n#5481998,नस,धमनी,शिरा,२. बल,वीर्य,शक्ति,सामर्थ्य,दिलेरी,साहस,धैर्य
science#n#6008975,विज्ञान,ज्ञान,विद्या,शास्त्र,२. विद्या विभाग
tell#v#954556,गिनना,कहना,समाचार देना,वर्णन करना,बतलाना,२. सिखाना,३. प्रकट करना,४. जानना,पता लगाना
follow_through#v#486949,
frog#n#1642406,मेढक,दादुर
need#n#9390888,आवश्यकता,जरूरत,कमी,दरिद्रता
resist#v#1119003,विरोध करना,मुकाबला करना,आडना,रोकना
ocean#n#9399110,महासागर,समुद्र,अम्बुधि
late#r#307328,अबेर करके,देर करके,विलम्ब से,२. हाल में
date#n#10012076,तिथि,मिति,तारीख,२. काल,समय,कालावधि,३. छुहारा,खजूर
extension#n#15297368,विस्तार,२. फैलाव,३. बढाना
advocate#n#9794206,वकील,सलाहकार,पक्ष करने वाला,पक्षसमर्थक,मुखतार,मध्यस्थ,२. रक्षक
steer#v#1935739,
get_down#v#346415,
hang#v#1484705,टांगना,लटकाना,२. फांसी देना
extract#v#1353852,खींचना,२. निकालना,३. छांटना
mushroom#n#13021801,कुकुरमुत्ता,गगनधूल,
wool#n#4606562,ऊन,मेषलोम,रोआं
metamorphosis#n#13536083,काया पलट,रूप भेद,रूपान्तर करना
emotional#a#2995009,भावनात्मक
liquid#a#2269142,तरल,बहने वाला,२. पतला,३. पानी के भांति,४. जलमय,५. मुलायम,चिकना
appoint#v#2481345,नियुक्त करना,निश्चय करना,स्थित करना,निर्धारण करना,काम पर नियुक्त करना
residence#n#8576500,निवास,टिकाव,घर,मकान,निवास स्थान,वास
procedure#n#1025762,मार्ग,रीति,चाल,क्रिया,विधि,कार्यप्रणाली,कार्यक्रम,कार्यवाही,२. प्रबन्ध
true#a#2469730,सत्य,असली,ठीक,ईमानदार,वास्तव
damage#n#7354253,हानी,घटा,क्षति
skull#n#5547754,खोपडी,कपाल
knee#n#5581233,घुटना
plant#v#1570056,गाडना,रोपना,लगाना
cry#n#7135232,चिल्लाहट,पुकार,याचना,२. रोना,रोवाई
contract#n#6750143,ठेका,संविद,पण,नियम पत्र,२. सगाई,मंगनी
calculate#v#713964,गिनना,जोडना,जांचना,गणना करना,अनुमान करना
gene#n#5444328,जीन
relationship#n#13802931,
door#n#3226423,दरवाजा
amino_acid#n#14626007,अमीनो अम्ल
season#n#15261272,मौसम,ऋतु,फसल,२. उपयुक्त काल,सुअवसर,३. स्वादिष्ट बनाना,स्वाद
planet#n#9416900,ग्रह,सितारा
patient#n#10425439,
celestial_body#n#9262646,खगोलीय वस्तु
interrupt#v#364717,बीच में पडना,दखल देना,हस्तक्षेप करना,२. रोकना,अटकाना,३. अलग करना,काटना
weave#v#1521557,कपडा बनाना,जाली काढना,कपडा बीनने का काम करना,२. अंतर्गत करना,दाखिल करना
tumor#n#14258682,फुलाव
raise#v#1978076,ऊपर उठाना,ऊंचा करना,बढाना,२. उकसाना,उभाडना,३. मुरदे को जिलाना,४. उडाना,खडा करना,५. बटोरना,पैदा करना,उपजाना,६. फुलाना,फैलाना,७.खमीर उठाना
simple#a#2182456,सीधा,अकेला,निरा,सादा,भोला,मूर्ख,२. निर्दोष,निष्कपट,शुद्ध,स्वच्छ,सरल
regenerate#v#168396,फिर पैदा करना,पुनर्जन्म देना,२. धर्मानुसार आचरण ग्रहण करना,मन फेर कर नया करना,शिष्य करना,द्विज करना,३. ईश्वर की ओर लौ लगाना
back#r#75427,उल्टा,पिछली ओर,पीछे,बदले में,पलटे में,फिर,दूसरी बार
phrase#n#6327041,वाक्यांश,पद,३. वाक प्रकार,४. वचन,५. केवल शब्द,शब्द मात्र
rut#n#1028686,पहिये की लकीर,लीक
hormone#n#5414462,हार्मोन
history#n#6526084,इतिहास,तवारीख
destruction#n#217881,तोड फोड,शारीरिक या मानसिक नाश,ध्वंस,संहार
suit#n#4357983,नालिश,विनय पत्र,झगडा,मुकदमा,अभियोग,व्यवहार,२. श्रेणी,संङ्गी,३. विवाहार्थ स्त्री उपासना,४. ताश का रंग,५. कपडे का जोडा( जिसमें साधारणत: कोट व कमीज और पतलून रहता है) 
extremum#n#13675520,उच्चिष्ट और निम्निष्ट
direction#n#6799486,लक्ष्य,निशाना,शासन,प्रशासन,आदेश,दिशा,ओर,सीध,ताक,आज्ञा,पता
sheep#n#2414351,भेड,भेडी,मेष
return#n#52012,वापसी,पलटाव,लौटान,बहाली,२. लाभ,नफा,सूद,३. कैफियत,नकशा,हिसाब का नकशा
Afghanistan#n#8721268,अफ़्गानिस्तान
net_income#n#13279261,
make_up#v#1757273,
bulge#n#13917127,उभार,पीपे का सबसे चौडा भाग
doctor#n#10040615,डाक्टर,वैद्य,२. विद्वान
feather#n#1898672,पंख,पर,२. कोई हल्की वस्तु,३. वर्ग,जाति
blow_up#v#241179,
tie#v#1288043,बांधना,कसना,गांठना
west#r#325301,पश्चिम की ओर
flatten#v#464382,चौरस करना,चपटा करना या होना
platform#n#3968233,चबूतरा,उन्नत स्थान,वेदिका,मचान,प्लैटफार्म
define#v#959410,सीमा बांधना,२. व्याख्या करना,वर्णन करना,अर्थ बताना,परिभाषा करना
project#v#708009,आगे को निकलना,आगे निकालना,आगे फेंकना,प्रक्षिप्त करना,२. यत्न करना,नक्षा खींचना,प्रत्यालेख करना
bomb#n#2869918,बम,बम का गोला
resin#n#14918291,राल,धूप,घना
pace#n#15305715,पग,कदम,चाल,२. घोडे का कदम
mental#a#2745650,मानसिक,मानस
stitch#n#4328376,सीवन,टांका,बखिया
recording#n#4070773,अभिलेखन
drain#v#2075385,खाली करना,नाली से बहाकर पानी निकालना
depth#n#5141812,गहराई,गहराई का नाप,२. गहरा स्थान ३. बुध्दि,चातुर्य,पहुंच ४. बीच,मध्य
African#a#2953127,
deity#n#9528550,ईश्वर,देवता,देव
read#v#626756,पढना,बांचना,जोर से बोलना,२. समझना,३. सीखना,४. व्याख्या करना,५. पढने में परिश्रमी होना,६. पढा जाना
ruler#n#10560786,शासक,अधिष्ठाता,नरेश,२. रेखाएं खींचने की पटरी
